state,value
Alabama,0
Alaska,-3879
Arkansas,0
Arizona,0
California,-367299
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,-23030
Florida,0
Georgia,0
Hawaii,-12603
Iowa,0
Idaho,0
Illinois,-122460
Indiana,0
Kansas,-5241
Kentucky,0
Louisiana,-30312
Maine,0
Maryland,-19871
Massachusetts,-46187
Michigan,-7893
Minnesota,-13453
Missouri,0
Mississippi,-4246
Montana,0
North Carolina,0
North Dakota,-6460
Nebraska,-3313
New Hampshire,0
New Jersey,-27766
New Mexico,-2186
Nevada,0
New York,-352185
Ohio,-3128
Oklahoma,0
Oregon,0
Pennsylvania,-3194
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,0
Utah,0
Virginia,-8995
Vermont,0
Washington,-29
Wisconsin,0
West Virginia,0
Wyoming,0
